District,Name,Party
1,Megan Dahle,Republican
2,Jim Wood,Democratic
3,James Gallagher,Republican
4,Cecilia Aguiar-Curry,Democratic
5,Joe Patterson,Republican
6,Kevin McCarty,Democratic
7,Josh Hoover,Republican
8,Jim Patterson,Republican
9,Heath Flora,Republican
10,Stephanie Nguyen,Democratic
11,Lori Wilson,Democratic
12,Damon Connolly,Democratic
13,Carlos Villapudua,Democratic
14,Buffy Wicks,Democratic
15,Tim Grayson,Democratic
16,Rebecca Bauer-Kahan,Democratic
17,Matt Haney,Democratic
18,Mia Bonta,Democratic
19,Phil Ting,Democratic
20,Liz Ortega,Democratic
21,Diane Papan,Democratic
22,Juan Alanis,Republican
23,Marc Berman,Democratic
24,Alex Lee,Democratic
25,Ash Kalra,Democratic
26,Evan Low,Democratic
27,Esmeralda Soria,Democratic
28,Gail Pellerin,Democratic
29,Robert Rivas,Democratic
30,Dawn Addis,Democratic
31,Joaquin Arambula,Democratic
32,Vince Fong,Republican
33,Devon Mathis,Republican
34,Tom Lackey,Republican
35,Jasmeet Bains,Democratic
36,Eduardo Garcia,Democratic
37,Gregg Hart,Democratic
38,Steve Bennett,Democratic
39,Juan Carrillo,Democratic
40,Pilar Schiavo,Democratic
41,Chris Holden,Democratic
42,Jacqui Irwin,Democratic
43,Luz Rivas,Democratic
44,Laura Friedman,Democratic
45,James Ramos,Democratic
46,Jesse Gabriel,Democratic
47,Greg Wallis,Republican
48,Blanca Rubio,Democratic
49,Mike Fong,Democratic
50,Eloise Reyes,Democratic
51,Rick Zbur,Democratic
52,Wendy Carrillo,Democratic
53,Freddie Rodriguez,Democratic
54,Miguel Santiago,Democratic
55,Isaac Bryan,Democratic
56,Lisa Calderon,Democratic
57,Reggie Jones-Sawyer,Democratic
58,Sabrina Cervantes,Democratic
59,Phillip Chen,Republican
60,Corey Jackson,Democratic
61,Tina McKinnor,Democratic
62,Anthony Rendon,Democratic
63,Bill Essayli,Republican
64,Blanca Pacheco,Democratic
65,Mike Gipson,Democratic
66,Al Muratsuchi,Democratic
67,Sharon Quirk-Silva,Democratic
68,Avelino Valencia,Democratic
69,Josh Lowenthal,Democratic
70,Tri Ta,Republican
71,Kate Sanchez,Republican
72,Diane Dixon,Republican
73,Cottie Petrie-Norris,Democratic
74,Laurie Davies,Republican
75,Marie Waldron,Republican
76,Brian Maienschein,Democratic
77,Tasha Boerner Horvath,Democratic
78,Chris Ward,Democratic
79,Akilah Weber,Democratic
80,David Alvarez,Democratic